"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
2;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
3;"MX1,MX2,MX3,MX4,MX5,MX6,MX7,MX8,MX9,MX10,MX11,MX12";"MX-1U";12;"MX-LED";;;
4;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_2.2mm_M2_Pad_Via";;;
5;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
6;"G***";"unamused_sm";1;"LOGO";;;
7;"J1";"OLED_0.91in_4pin";1;"Conn_01x04";;;
8;"R3,R2";"R_0805_2012Metric";2;"22";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16Mhz";;;
10;"SW1";"SW_SPST_REED_CT05-XXXX-G1";1;"SW_Reed";;;
11;"R4,R1";"R_0805_2012Metric";2;"10k";;;
12;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
13;"D12,D11,D10,D9,D8,D7,D6,D5,D4,D3,D2,D1";"D_SOD-123";12;"D_Small";;;
14;"C7,C6";"C_0805_2012Metric";2;"22pF";;;
15;"C5";"C_0805_2012Metric";1;"10uF";;;
16;"C4,C3,C2";"C_0805_2012Metric";3;"0.1uF";;;
17;"C1";"C_0805_2012Metric";1;"1uF";;;
